id_participant,cues
40,façon
40,lèvre
40,doigt
40,début
40,sens
40,nord
40,mari
40,jeunesse
40,cause
40,pierre
40,objet
40,table
40,soeur
40,larme
41,table
41,position
41,lèvre
41,pierre
41,rayon
41,lutte
41,avis
41,jambe
41,direction
41,machine
41,flamme
41,soeur
41,lit
41,mer
41,colline
41,preuve
41,rose
41,genre
41,vache
41,page
41,mur
41,oncle
41,faim
41,chien
41,nord
41,toit
41,lune
41,appel
41,doigt
41,fil
41,masse
41,arbre
41,visage
41,science
41,garçon
41,cause
41,chambre
41,principe
41,rapport
41,sens
41,façon
41,jeunesse
41,acte
41,horizon
41,école
41,habitude
41,enfant
41,question
41,morceau
41,gauche
41,vin
41,jardin
41,herbe
41,larme
41,passage
41,rôle
41,objet
41,mari
41,peau
41,début
41,désir
41,passion
41,rôle
41,arbre
41,morceau
41,enfant
41,lutte
41,rayon
41,jambe
41,acte
41,passage
41,mur
41,visage
41,chambre
41,garçon
41,faim
41,table
41,herbe
41,sens
41,objet
41,doigt
41,façon
41,jardin
41,masse
41,genre
41,jeunesse
41,question
41,machine
41,pierre
41,lune
41,colline
41,preuve
41,page
41,rapport
41,mari
41,vin
41,désir
41,flamme
41,cause
41,rose
41,larme
41,lèvre
41,appel
41,passion
41,vache
41,soeur
41,mer
41,direction
41,nord
41,position
41,chien
41,lit
41,avis
41,fil
41,toit
41,principe
41,école
41,oncle
41,peau
41,horizon
41,gauche
41,début
41,habitude
41,science
42,appel
42,désir
42,lutte
42,passage
42,masse
42,mur
42,mari
42,fil
42,horizon
42,position
42,lèvre
42,jambe
42,gauche
42,doigt
42,enfant
42,question
42,vache
42,chien
42,nord
42,mer
42,science
42,morceau
42,jeunesse
42,genre
42,visage
42,rayon
42,principe
42,oncle
42,école
42,lit
42,pierre
42,colline
42,garçon
42,table
42,lune
42,rapport
42,larme
42,cause
42,peau
42,chambre
42,preuve
42,façon
42,rôle
42,herbe
42,vin
42,soeur
42,acte
42,faim
42,habitude
42,jardin
42,passion
42,direction
42,début
42,toit
42,sens
42,page
42,avis
42,rose
42,arbre
42,flamme
42,machine
42,objet
42,chambre
42,herbe
42,sens
42,rose
42,visage
42,toit
42,masse
42,doigt
42,appel
42,lèvre
42,larme
42,question
42,oncle
42,vin
42,jardin
42,acte
42,désir
42,garçon
42,flamme
42,enfant
42,chien
42,objet
42,cause
42,page
42,science
42,faim
42,mer
42,peau
42,façon
42,rayon
42,morceau
42,genre
42,machine
42,preuve
42,lit
42,gauche
42,mari
42,jeunesse
42,direction
42,nord
42,position
42,avis
42,école
42,horizon
42,habitude
42,lutte
42,soeur
42,jambe
42,passion
42,vache
42,table
42,principe
42,arbre
42,passage
42,rapport
42,lune
42,rôle
42,mur
42,début
42,pierre
42,colline
42,fil
43,passage
43,horizon
43,table
43,machine
43,gauche
43,lutte
43,genre
43,pierre
43,sens
43,colline
43,visage
43,mari
43,début
43,rôle
43,jardin
43,vin
43,faim
43,façon
43,cause
43,mer
43,direction
43,larme
43,morceau
43,nord
43,passion
43,chambre
43,jambe
43,chien
