,lemme,phon,cgram,freqlemfilms2,freqlemlivres
617,bout,bu,NOM,128.33,398.11
618,habiter,abite,VER,128.3,112.5
619,faim,f5,NOM,128.04,75.95
622,froid,fRwa,ADJ,127.22,161.69
623,normal,nORmal,ADJ,127.15,62.77
624,pas,pa,NOM,127.06,334.19
625,déranger,deR@Ze,VER,126.95,43.99
626,reprendre,R°pR@dR,VER,126.92,340.14
627,oncle,§kl,NOM,126.71,127.7
628,prix,pRi,NOM,126.55,107.5
629,retard,R°taR,NOM,126.45,46.62
630,détruire,detR8iR,VER,126.08,52.36
631,cadeau,kado,NOM,125.79,50.81
632,pousser,puse,VER,125.61,288.92
633,face,fas,NOM,125.32,270.88
634,gueule,g9l,NOM,125.22,109.93
635,chemin,S°m5,NOM,125.18,231.42
636,vivant,viv@,ADJ,124.97,92.23
637,général,ZeneRal,NOM,124.83,236.89
638,bateau,bato,NOM,124.82,82.36
639,million,milj§,NOM,124.7,54.05
640,sac,sak,NOM,124.6,174.26
641,seconde,s°g§d,NOM,124.54,121.49
642,impossible,5posibl,ADJ,124.54,96.01
643,découvrir,dekuvRiR,VER,124.2,198.18
644,erreur,ER9R,NOM,124.15,52.09
645,soleil,solEj,NOM,123.34,334.39
646,voyage,vwajaZ,NOM,123.17,140.07
647,sauter,sote,VER,123.03,134.59
648,rêver,Reve,VER,122.95,128.18
649,détester,detEste,VER,122.87,62.64
650,clair,klER,ADJ,122.69,156.69
651,con,k§,NOM,122.62,68.99
652,faux,fo,ADJ,122.23,109.59
653,paraître,paREtR,VER,122.14,448.11
654,balle,bal,NOM,122.07,94.59
655,empêcher,@peSe,VER,121.85,171.28
656,maintenir,m5t°niR,VER,121.32,98.51
657,cheveu,S°v2,NOM,121.27,270.68
658,papier,papje,NOM,120.51,203.11
659,sujet,syZE,NOM,120.42,105.74
660,supposer,sypoze,VER,120.31,62.5
661,tranquille,tR@kil,ADJ,119.69,91.96
662,épouser,epuze,VER,118.78,59.26
663,blanc,bl@,ADJ,118.74,430.54
664,table,tabl,NOM,118.37,379.8
667,clé,kle,NOM,118.13,48.58
668,agent,aZ@,NOM,117.9,39.26
669,pouvoir,puvwaR,NOM,117.87,107.91
670,approcher,apRoSe,VER,117.65,196.15
671,sens,s@s,NOM,117.57,217.5
672,craindre,kR5dR,VER,117.44,108.31
674,message,mesaZ,NOM,117.11,42.57
675,crier,kRije,VER,116.94,239.73
676,salle,sal,NOM,116.91,215.81
677,inviter,5vite,VER,116.83,82.3
678,effet,efE,NOM,116.75,192.36
679,réfléchir,RefleSiR,VER,116.71,89.05
680,espèce,EspEs,NOM,116.51,141.69
681,arranger,aR@Ze,VER,116.14,75.81
682,naître,nEtR,VER,116.11,119.32
684,passé,pase,ADJ,115.89,58.58
685,bois,bwa,NOM,115.56,299.46
686,propos,pRopo,NOM,115.21,106.28
687,camp,k@,NOM,114.93,97.23
688,sorte,sORt,NOM,114.73,307.16
689,hôtel,otEl,NOM,114.67,158.92
690,début,deby,NOM,114.31,141.49
691,souffrir,sufRiR,VER,113.83,119.26
692,jambe,Z@b,NOM,113.82,220.95
693,remercier,R°mERsje,VER,113.7,54.46
694,choix,Swa,NOM,113.35,51.42
695,sécurité,sekyRite,NOM,113.17,39.12
696,baiser,beze,VER,112.82,44.12
697,avocat,avoka,NOM,112.69,37.64
698,attraper,atRape,VER,112.52,55.34
699,client,klij@,NOM,112.12,81.55
700,courant,kuR@,NOM,111.58,79.73
701,dépêcher,depeSe,VER,111.44,22.84
702,peuple,p2pl,NOM,111.36,107.3
703,dame,dam,NOM,111.2,151.35
705,abandonner,ab@done,VER,110.87,128.45
706,vérifier,veRifje,VER,110.87,40.27
707,journal,ZuRnal,NOM,110.8,197.7
708,sérieux,seRj2,ADJ,110.48,66.01
709,or,OR,NOM,110.28,130.0
710,brûler,bRyle,VER,110.28,104.73
711,loi,lwa,NOM,110.12,72.3
712,fond,f§,NOM,110.07,376.15
713,gosse,gOs,NOM,109.96,61.76
714,fric,fRik,NOM,109.01,26.42
715,situation,sit8asj§,NOM,108.99,104.86
718,accident,aksid@,NOM,108.21,44.8
719,doute,dut,NOM,108.18,350.07
720,scène,sEn,NOM,107.96,114.93
721,soldat,sOlda,NOM,107.92,128.92
722,amoureux,amuR2,ADJ,107.79,58.45
723,assurer,asyRe,VER,107.71,126.55
724,preuve,pR9v,NOM,107.54,65.34
725,humain,ym5,ADJ,107.1,111.55
726,mer,mER,NOM,106.61,257.57
727,bien,bj5,NOM,106.6,70.2
728,silence,sil@s,NOM,106.43,325.54
729,télé,tele,NOM,106.42,26.15
730,victime,viktim,NOM,106.25,46.22
732,pute,pyt,NOM,105.25,20.27
733,calme,kalm,NOM,105.2,53.24
735,garde,gaRd,NOM,104.47,112.09
