,id_participant,cues,responses,likeability,originality,adequacy,frequencyCreaFlexFirst,frequencyCreaFlexDist,RT_answer,condition,unique_creaflexFirst,unique_creaflexDist,frequency_dictaverf,similarity
161,23,question,réponse,75.0,11.0,100.0,0.8020833333333334,0.0625,2.195567899998423,1,0,0,0.71933,0.6596456
162,23,acte,pièce,,,,0.03125,0.03125,0.057221600000048,1,0,0,0.019084,0.2560021
163,23,rose,fleur,97.0,11.0,97.0,0.40625,0.0208333333333333,0.0002295999984198,1,0,0,0.367672,0.6110443
164,23,oncle,tante,100.0,5.0,100.0,0.7395833333333334,0.0208333333333333,0.0162100000015925,1,0,0,0.69057,0.7583509
165,23,herbe,vert,,,,0.0104166666666666,0.0,0.0299395000001823,1,0,1,0.19536,0.33800775
166,23,faim,soif,75.0,1.0,100.0,0.2604166666666667,0.0208333333333333,0.1827259999990929,1,0,0,0.2551,0.6068077
167,23,école,agréable,50.0,71.0,72.0,0.0,0.0,0.0002088000001094,1,1,1,0.0,0.07161832
168,23,lit,chambre,,,,0.0833333333333333,0.0104166666666666,0.0002195999986724,1,0,0,0.039548,0.49110392
169,23,masse,gros,79.0,27.0,88.0,0.0104166666666666,0.0104166666666666,0.0002428000007057,1,0,0,0.016,0.20370588
170,23,flamme,feu,,,,0.71875,0.0,0.0002161000011255,1,0,1,0.68702,0.5792057
171,23,lèvre,bouche,,,,0.6875,0.0,0.0002104999985022,1,0,1,0.54373,0.58478147
172,23,passage,rue,63.0,15.0,90.0,0.0729166666666666,0.0104166666666666,0.0002268999996886,1,0,0,0.057143,0.22270352
173,23,principe,loi,,,,0.0520833333333333,0.0208333333333333,0.2156590999984473,1,0,0,0.044316,0.44957227
174,23,sens,direction,,,,0.25,0.0104166666666666,0.0002191999992646,1,0,0,0.22617,0.2347842
175,23,habitude,facile,61.0,93.0,67.0,0.0,0.0,0.0002353999989281,1,1,1,0.0,0.43185732
176,23,passion,amour,,,,0.3854166666666667,0.03125,0.0003075999993598,1,0,0,0.452827,0.5378622
177,23,désir,sexe,,,,0.125,0.0,0.0002660999998624,1,0,1,0.078029,0.21516642
178,23,larme,pleurs,93.0,14.0,100.0,0.1354166666666666,0.0,0.0002147999985027,1,0,1,0.11321,0.3436775
179,23,vache,lait,100.0,1.0,98.0,0.5416666666666666,0.0416666666666666,0.0002230999998573,1,0,0,0.44231,0.588999
180,23,début,fin,,,,0.875,0.0416666666666666,0.0002378999997745,1,0,0,0.759297,0.6911618
181,23,pierre,dur,,,,0.0416666666666666,0.0104166666666666,0.0002177999995183,1,0,0,0.032381,0.115421385
182,23,visage,beauté,,,,0.0208333333333333,0.0416666666666666,0.0002377000018896,1,0,0,0.022133,0.53909147
183,23,arbre,grand,75.0,42.0,91.0,0.0,0.0,0.0002440999996906,1,1,1,0.003914,0.18945408
184,23,position,loin,,,,0.0,0.0,0.0002180999981646,1,1,1,0.0,0.22804545
185,23,avis,opinion,75.0,17.0,83.0,0.28125,0.0625,0.0002171999985876,1,0,0,0.41006,0.269344
186,23,flamme,agréable,,,,0.0,0.0,1.5403317999989667,2,1,1,0.0,0.08583174
187,23,genre,chaussure,1.0,100.0,41.0,0.0,0.0,0.4445449999984703,2,1,1,0.0,0.14680842
188,23,lutte,épreuve,,,,0.0,0.0,1.1011899000004632,2,1,1,0.0,0.045099117
189,23,horizon,mer,,,,0.1354166666666666,0.0208333333333333,0.5473482000015792,2,0,0,0.112,0.18208979
190,23,cause,principe,73.0,71.0,79.0,0.0,0.0,1.1162532000016654,2,1,1,0.0,0.2323876
191,23,morceau,gâteau,77.0,14.0,87.0,0.0208333333333333,0.0520833333333333,1.148116399999708,2,0,0,0.062136,0.27377823
